"Flow_well","Temp_diff","Temp_diff_real","kW_well","Hydr_gradient","Hydr_conductivity","Aqu_thickness","Long_dispersivity","Trans_dispersivity","Iso_width","Iso_distance","Area","Isotherm"
1.7,3,2.33846014335,0.247,0.0015,0.00021,4,5,2.5,16.2162872478,28.1718188744,405.071857054,1
4.3,3,2.90955366027,0.624,0.0015,0.00021,4,5,2.5,51.654720932,210.434827632,8951.6481765,1
4.3,3,2.90955366027,0.624,0.0015,0.00021,4,5,2.5,16.64030148,25.3950533526,393.286837972,2
6.8,3,3.07244422043,0.987,0.0015,0.00021,4,5,2.5,85.6510331274,550.269109103,38313.6202946,1
6.8,3,3.07244422043,0.987,0.0015,0.00021,4,5,2.5,32.5194631916,77.86837718,2181.23418159,2
9.3,3,3.13828594204,1.35,0.0015,0.00021,4,5,2.5,119.154492044,1046.89106397,101045.792286,1
9.3,3,3.13828594204,1.35,0.0015,0.00021,4,5,2.5,49.2002841786,161.506349749,6613.14131447,2
11.9,3,3.1691372082,1.727,0.0015,0.00021,4,5,2.5,153.035860972,1721.58497466,213267.662244,1
11.9,3,3.1691372082,1.727,0.0015,0.00021,4,5,2.5,67.0660249034,281.864280626,15423.4141234,2
7,3,2.51923354297,1.016,0.0015,0.00085,4,5,2.5,18.5099497683,44.4645988298,703.986269536,1
7,3,2.51923354297,1.016,0.0015,0.00085,4,5,2.5,3.79145335394,3.20383806134,13.7863007516,2
17.3,3,2.99509088912,2.511,0.0015,0.00085,4,5,2.5,53.1382748557,307.805876522,13319.186147,1
17.3,3,2.99509088912,2.511,0.0015,0.00085,4,5,2.5,19.4638922062,40.831226604,695.271517468,2
27.6,3,3.12125961637,4.006,0.0015,0.00085,4,5,2.5,87.4539434326,811.437873678,57470.4706315,1
27.6,3,3.12125961637,4.006,0.0015,0.00085,4,5,2.5,36.2943243877,122.63214587,3686.16805984,2
38,3,3.16678782577,5.515,0.0015,0.00085,4,5,2.5,121.365559504,1554.09499323,152656.637758,1
38,3,3.16678782577,5.515,0.0015,0.00085,4,5,2.5,54.0402049092,253.16147368,11074.061349,2
48.3,3,3.1850212278,7.01,0.0015,0.00085,4,5,2.5,72.0387632281,429.800508326,24693.4991565,2
29,3,2.57247344847,4.209,0.0015,0.0035,4,5,2.5,19.1398758938,51.5604036953,831.026314518,1
29,3,2.57247344847,4.209,0.0015,0.0035,4,5,2.5,4.45129079047,4.16799614978,20.2627900471,2
71.4,3,3.01992756577,10.363,0.0015,0.0035,4,5,2.5,53.7147465108,349.855928786,15265.6627551,1
71.4,3,3.01992756577,10.363,0.0015,0.0035,4,5,2.5,20.3583014195,47.4473641119,832.591002854,2
113.8,3,3.13388456794,16.517,0.0015,0.0035,4,5,2.5,87.9192593176,917.802508552,65302.1590858,1
113.8,3,3.13388456794,16.517,0.0015,0.0035,4,5,2.5,37.3584094433,140.893857571,4322.14317311,2
156.3,3,3.17326019194,22.685,0.0015,0.0035,4,5,2.5,121.404432383,1745.08037174,171538.62821,1
156.3,3,3.17326019194,22.685,0.0015,0.0035,4,5,2.5,55.1513715663,288.291910266,12774.3375855,2
198.7,3,3.18855050993,28.839,0.0015,0.0035,4,5,2.5,73.2821027685,487.784690515,28332.3300533,2
58.1,3,2.58192299308,8.433,0.0015,0.007,4,5,2.5,19.2631138575,52.5610290006,856.815118475,1
58.1,3,2.58192299308,8.433,0.0015,0.007,4,5,2.5,4.56944901456,4.35875747514,21.6142966613,2
142.9,3,3.02416042478,20.74,0.0015,0.007,4,5,2.5,53.8311234036,357.580597657,15645.4322234,1
142.9,3,3.02416042478,20.74,0.0015,0.007,4,5,2.5,20.5202372669,48.3733179476,859.469944434,2
227.6,3,3.13591764819,33.034,0.0015,0.007,4,5,2.5,87.978984006,937.109022443,66714.0287989,1
227.6,3,3.13591764819,33.034,0.0015,0.007,4,5,2.5,37.5318040827,144.311367398,4438.25208024,2
312.4,3,3.17426865107,45.341,0.0015,0.007,4,5,2.5,121.360552036,1778.4916892,174803.809548,1
312.4,3,3.17426865107,45.341,0.0015,0.007,4,5,2.5,55.3078139531,294.455410108,13072.2854483,2
397.2,3,3.18909504196,57.649,0.0015,0.007,4,5,2.5,73.4665484422,498.345578549,28977.2955399,2
481.1,3,2.58895671245,69.826,0.0015,0.058,4,5,2.5,19.3191417229,53.6791746988,874.513699455,1
481.1,3,2.58895671245,69.826,0.0015,0.058,4,5,2.5,4.65209329757,4.50161250428,22.6187153428,2
1181.7,3,3.02708854457,171.511,0.0015,0.058,4,5,2.5,53.7844545891,362.866660846,15862.3420436,1
1181.7,3,3.02708854457,171.511,0.0015,0.058,4,5,2.5,20.5901506862,49.1318578797,875.871720865,2
1882.3,3,3.13741739156,273.195,0.0015,0.058,4,5,2.5,87.8586379766,951.032599255,67614.8959321,1
1882.3,3,3.13741739156,273.195,0.0015,0.058,4,5,2.5,37.5984530907,146.702704662,4515.307385,2
2582.8,3,3.17502648639,374.865,0.0015,0.058,4,5,2.5,121.128807532,1803.54934778,176916.756574,1
2582.8,3,3.17502648639,374.865,0.0015,0.058,4,5,2.5,55.3444337486,298.987390086,13271.823134,2
3283.4,3,3.18949421765,476.549,0.0015,0.058,4,5,2.5,73.4683988283,505.726138887,29384.4870233,2
1.7,3,1.82449533603,0.247,0.0015,0.00021,4,10,5,12.2671475448,14.7608504198,173.706452513,1
5.8,3,2.68111197859,0.842,0.0015,0.00021,4,10,5,68.0073258001,235.13270991,13264.7869149,1
5.8,3,2.68111197859,0.842,0.0015,0.00021,4,10,5,19.9810209814,25.375492363,494.889815073,2
9.9,3,2.91446465286,1.437,0.0015,0.00021,4,10,5,123.883766002,723.089564521,72894.4231633,1
9.9,3,2.91446465286,1.437,0.0015,0.00021,4,10,5,45.9142716418,99.2026175788,3969.89451219,2
14,3,3.00681486708,2.032,0.0015,0.00021,4,10,5,177.981465507,1463.14736088,210974.805704,1
14,3,3.00681486708,2.032,0.0015,0.00021,4,10,5,73.3991683595,224.356615105,13765.8657213,2
18.1,3,3.04918155711,2.627,0.0015,0.00021,4,10,5,101.85013419,402.299212293,33474.8952333,2
