"Flow_well","Hydr_gradient","Hydr_conductivity","Aqu_thickness","Cone"
0.1736115,0.0015,0.00021,4,0.350395772
0.1736115,0.0015,0.00042,4,0.178780695
0.1736115,0.0015,0.00085,4,0.089400826
0.1736115,0.0015,0.0017,4,0.044913747
0.1736115,0.0015,0.0035,4,0.021832341
0.1736115,0.0015,0.005,4,0.015262046
0.1736115,0.0015,0.007,4,0.010882003
0.1736115,0.0015,0.014,4,0.005406864
0.1736115,0.0015,0.029,4,0.002574892
0.1736115,0.0015,0.058,4,0.001253306
0.578705,0.0015,0.00042,4,0.567690392
0.578705,0.0015,0.00085,4,0.290107153
0.578705,0.0015,0.0017,4,0.147827222
0.578705,0.0015,0.0035,4,0.072483386
0.578705,0.0015,0.005,4,0.050872488
0.578705,0.0015,0.007,4,0.036400798
0.578705,0.0015,0.014,4,0.018182246
0.578705,0.0015,0.029,4,0.008742292
0.578705,0.0015,0.058,4,0.004337007
1.15741,0.0015,0.00085,4,0.561881345
1.15741,0.0015,0.0017,4,0.289916345
1.15741,0.0015,0.0035,4,0.14369677
1.15741,0.0015,0.005,4,0.101119424
1.15741,0.0015,0.007,4,0.072483386
1.15741,0.0015,0.014,4,0.036400798
1.15741,0.0015,0.029,4,0.017553021
1.15741,0.0015,0.058,4,0.008742292
1.736115,0.0015,0.0017,4,0.427785309
1.736115,0.0015,0.0035,4,0.213677404
1.736115,0.0015,0.005,4,0.1507496
1.736115,0.0015,0.007,4,0.108246859
1.736115,0.0015,0.014,4,0.054482332
1.736115,0.0015,0.029,4,0.026363466
1.736115,0.0015,0.058,4,0.013147632
2.31482,0.0015,0.0017,4,0.561522276
2.31482,0.0015,0.0035,4,0.281942077
2.31482,0.0015,0.005,4,0.199777865
2.31482,0.0015,0.007,4,0.14369677
2.31482,0.0015,0.014,4,0.072483386
2.31482,0.0015,0.029,4,0.035150808
2.31482,0.0015,0.058,4,0.017553021
3.47223,0.0015,0.0035,4,0.41618939
3.47223,0.0015,0.005,4,0.295554326
3.47223,0.0015,0.007,4,0.213677404
3.47223,0.0015,0.014,4,0.108246859
3.47223,0.0015,0.029,4,0.052615571
3.47223,0.0015,0.058,4,0.026363466
5.78705,0.0015,0.005,4,0.481816598
5.78705,0.0015,0.007,4,0.349580092
5.78705,0.0015,0.014,4,0.178838529
5.78705,0.0015,0.029,4,0.087320444
5.78705,0.0015,0.058,4,0.043892619
8.680575,0.0015,0.007,4,0.514275625
8.680575,0.0015,0.014,4,0.265379007
8.680575,0.0015,0.029,4,0.130286809
8.680575,0.0015,0.058,4,0.065664825
11.5741,0.0015,0.014,4,0.349580092
11.5741,0.0015,0.029,4,0.172801349
11.5741,0.0015,0.058,4,0.087320444
17.36115,0.0015,0.014,4,0.514275625
17.36115,0.0015,0.029,4,0.256511982
17.36115,0.0015,0.058,4,0.130286809
23.1482,0.0015,0.029,4,0.337993091
23.1482,0.0015,0.058,4,0.172801349
34.7223,0.0015,0.029,4,0.49751542
34.7223,0.0015,0.058,4,0.256511982
46.2964,0.0015,0.029,4,0.65162061
46.2964,0.0015,0.058,4,0.337993091
69.4446,0.0015,0.058,4,0.49751542
92.5928,0.0015,0.058,4,0.65162061
0.1736115,0.0015,0.00021,6,0.239615276
0.1736115,0.0015,0.00042,6,0.120666247
0.1736115,0.0015,0.00085,6,0.059980732
0.1736115,0.0015,0.0017,6,0.030034261
0.1736115,0.0015,0.0035,6,0.014569254
0.1736115,0.0015,0.005,6,0.010186267
0.1736115,0.0015,0.007,6,0.007264338
0.1736115,0.0015,0.014,6,0.00361191
0.1736115,0.0015,0.029,6,0.001722722
0.1736115,0.0015,0.058,6,0.000841101
0.578705,0.0015,0.00042,6,0.393195403
0.578705,0.0015,0.00085,6,0.197647742
0.578705,0.0015,0.0017,6,0.099566901
0.578705,0.0015,0.0035,6,0.048577033
0.578705,0.0015,0.005,6,0.034048876
0.578705,0.0015,0.007,6,0.024309056
0.578705,0.0015,0.014,6,0.012134226
0.578705,0.0015,0.029,6,0.005836952
0.578705,0.0015,0.058,6,0.002898217
1.15741,0.0015,0.00085,6,0.389044614
1.15741,0.0015,0.0017,6,0.197515382
1.15741,0.0015,0.0035,6,0.096758055
1.15741,0.0015,0.005,6,0.067895403
1.15741,0.0015,0.007,6,0.048577033
1.15741,0.0015,0.014,6,0.024309056
1.15741,0.0015,0.029,6,0.011714405
1.15741,0.0015,0.058,6,0.005836952
1.736115,0.0015,0.00085,6,0.574687211
1.736115,0.0015,0.0017,6,0.293906329
1.736115,0.0015,0.0035,6,0.144559235
1.736115,0.0015,0.005,6,0.101555164
1.736115,0.0015,0.007,6,0.072715397
1.736115,0.0015,0.014,6,0.03647172
1.736115,0.0015,0.029,6,0.017592051
1.736115,0.0015,0.058,6,0.008775678
2.31482,0.0015,0.0017,6,0.388788124
2.31482,0.0015,0.0035,6,0.191986479
2.31482,0.0015,0.005,6,0.135029098
2.31482,0.0015,0.007,6,0.096758055
2.31482,0.0015,0.014,6,0.048577033
2.31482,0.0015,0.029,6,0.023469419
2.31482,0.0015,0.058,6,0.011714405
3.47223,0.0015,0.0017,6,0.574313003
3.47223,0.0015,0.0035,6,0.285742046
3.47223,0.0015,0.005,6,0.20142756
3.47223,0.0015,0.007,6,0.144559235
3.47223,0.0015,0.014,6,0.072715397
3.47223,0.0015,0.029,6,0.035218064
3.47223,0.0015,0.058,6,0.017592051
5.78705,0.0015,0.0035,6,0.468887727
5.78705,0.0015,0.005,6,0.332081492
5.78705,0.0015,0.007,6,0.239045539
5.78705,0.0015,0.014,6,0.120705752
5.78705,0.0015,0.029,6,0.058576973
5.78705,0.0015,0.058,6,0.029346885
8.680575,0.0015,0.005,6,0.491448656
8.680575,0.0015,0.007,6,0.355119015
8.680575,0.0015,0.014,6,0.180164407
8.680575,0.0015,0.029,6,0.08764964
8.680575,0.0015,0.058,6,0.043988204
11.5741,0.0015,0.005,6,0.647250942
11.5741,0.0015,0.007,6,0.468887727
11.5741,0.0015,0.014,6,0.239045539
11.5741,0.0015,0.029,6,0.116583573
11.5741,0.0015,0.058,6,0.058576973
17.36115,0.0015,0.014,6,0.355119015
17.36115,0.0015,0.029,6,0.174040474
17.36115,0.0015,0.058,6,0.08764964
23.1482,0.0015,0.014,6,0.468887727
23.1482,0.0015,0.029,6,0.230957915
23.1482,0.0015,0.058,6,0.116583573
34.7223,0.0015,0.029,6,0.343213975
34.7223,0.0015,0.058,6,0.174040474
46.2964,0.0015,0.029,6,0.453282878
46.2964,0.0015,0.058,6,0.230957915
69.4446,0.0015,0.029,6,0.668458005
69.4446,0.0015,0.058,6,0.343213975
92.5928,0.0015,0.058,6,0.453282878
115.741,0.0015,0.058,6,0.561744184
0.1736115,0.0015,0.00021,8,0.181268707
0.1736115,0.0015,0.00042,8,0.090900187
0.1736115,0.0015,0.00085,8,0.045089979
0.1736115,0.0015,0.0017,8,0.0225367
0.1736115,0.0015,0.0035,8,0.010934134
0.1736115,0.0015,0.005,8,0.007645916
0.1736115,0.0015,0.007,8,0.005453761
0.1736115,0.0015,0.014,8,0.002713563
0.1736115,0.0015,0.029,8,0.001296219
0.1736115,0.0015,0.058,8,0.000634791
0.578705,0.0015,0.00021,8,0.5891153
0.578705,0.0015,0.00042,8,0.29907406
0.578705,0.0015,0.00085,8,0.149297849
0.578705,0.0015,0.0017,8,0.074950186
0.578705,0.0015,0.0035,8,0.036503767
0.578705,0.0015,0.005,8,0.0255486
0.578705,0.0015,0.007,8,0.018241558
0.578705,0.0015,0.014,8,0.009107346
0.578705,0.0015,0.029,8,0.004382878
0.578705,0.0015,0.058,8,0.002178122
1.15741,0.0015,0.00042,8,0.587547527
1.15741,0.0015,0.00085,8,0.295873484
1.15741,0.0015,0.0017,8,0.149197168
1.15741,0.0015,0.0035,8,0.072828657
1.15741,0.0015,0.005,8,0.051053317
1.15741,0.0015,0.007,8,0.036503767
1.15741,0.0015,0.014,8,0.018241558
1.15741,0.0015,0.029,8,0.008792382
1.15741,0.0015,0.058,8,0.004382878
1.736115,0.0015,0.00085,8,0.439837543
1.736115,0.0015,0.0017,8,0.222768322
1.736115,0.0015,0.0035,8,0.108991042
