Flow_well,Hydr_gradient,Hydr_conductivity,Aqu_thickness
0.1736115,0.006,0.014,10
52.08345,0.006,0.0017,30
0.4050935,0.008,0.00085,8
57.8705,0.008,0.029,25
144.67625,0.004,0.058,16
57.8705,0.006,0.014,12
5.78705,0.006,0.029,6
8.10187,0.004,0.0017,20
69.4446,0.008,0.0035,20
1.15741,0.008,0.014,30
17.36115,0.0015,0.058,20
46.2964,0.008,0.005,20
1.15741,0.008,0.00021,4
0.2893525,0.004,0.005,20
46.2964,0.008,0.058,30
0.1736115,0.006,0.007,6
0.4050935,0.008,0.005,10
0.4050935,0.008,0.058,20
28.93525,0.006,0.029,2
0.1736115,0.0015,0.029,4
