Flow_well,Temp_diff,kW_well,Hydr_gradient,Hydr_conductivity,Aqu_thickness,Long_dispersivity,Trans_dispersivity,Isotherm
82.3,5,19.908,0.0079,0.00085,4,10,1.0,2
59.6,5,14.417,0.006,0.00085,6,35,1.75,1
4.5,7,1.524,0.004,0.00021,4,10,0.5,4
706.9,7,239.397,0.006,0.0035,6,35,17.5,4
39.7,7,13.445,0.004,0.00021,16,10,5.0,3
1426.8,7,483.196,0.006,0.058,4,5,0.25,6
36.5,3,5.298,0.006,0.00021,4,35,17.5,1
9036.7,5,2185.961,0.0015,0.058,30,20,2.0,1
1016.1,7,344.11,0.0079,0.007,6,35,3.5,2
561.2,5,135.753,0.006,0.00085,25,35,3.5,3
1455.9,5,352.18,0.004,0.0035,30,20,2.0,3
405.5,5,98.09,0.006,0.0035,6,5,2.5,1
34.8,3,5.051,0.004,0.00021,30,10,2.0,1
287.2,3,41.684,0.004,0.007,6,5,0.25,1
4968.4,5,1201.847,0.0079,0.0035,25,35,17.5,2
165.4,7,56.014,0.0079,0.00085,25,5,0.25,3
362.9,3,52.671,0.0015,0.007,25,5,2.5,1
1084.5,7,367.274,0.004,0.0035,16,20,10.0,1
34.8,5,8.418,0.004,0.00021,30,5,0.5,2
274.1,5,66.304,0.006,0.00085,30,10,1.0,1
